NUTS0,CPRN_LC,0
AT,B1,38
AT,B2,4
AT,B3,5
AT,B4,2
AT,B5,7
AT,B7,3
AT,B8,1
AT,C1,14
AT,C2,54
AT,C3,24
AT,D1,2
AT,E1,5
AT,E2,64
AT,E3,1
AT,F4,1
BE,B1,30
BE,B2,13
BE,B3,1
BE,B4,2
BE,B5,9
BE,B7,1
BE,C1,13
BE,C2,6
BE,C3,4
BE,D2,2
BE,E1,1
BE,E2,24
BE,E3,1
BE,F4,3
BE,H1,1
BG,B1,79
BG,B3,37
BG,B4,4
BG,B5,8
BG,B7,3
BG,B8,3
BG,C1,57
BG,C2,7
BG,C3,12
BG,D1,5
BG,D2,4
BG,E1,25
BG,E2,25
BG,E3,15
BG,F2,1
BG,H1,1
CY,A2,1
CY,B1,4
CY,B5,2
CY,B7,2
CY,B8,11
CY,C1,1
CY,C2,17
CY,C3,2
CY,D1,5
CY,D2,6
CY,E1,3
CY,E2,7
CY,E3,4
CY,F4,1
CZ,A2,2
CZ,B1,88
CZ,B2,2
CZ,B3,28
CZ,B4,2
CZ,B5,10
CZ,B8,1
CZ,C1,26
CZ,C2,44
CZ,C3,20
CZ,D2,1
CZ,E1,8
CZ,E2,48
CZ,E3,2
CZ,F4,2
CZ,H1,1
DE,A2,15
DE,B1,243
DE,B2,26
DE,B3,36
DE,B4,7
DE,B5,21
DE,B7,4
DE,B8,6
DE,C1,108
DE,C2,104
DE,C3,62
DE,D1,3
DE,D2,1
DE,E1,17
DE,E2,250
DE,E3,20
DE,F4,20
DE,H1,2
DK,A2,1
DK,B1,50
DK,B2,2
DK,B3,4
DK,B5,5
DK,C1,12
DK,C2,9
DK,C3,1
DK,E1,1
DK,E2,14
DK,E3,2
DK,F4,1
DK,H1,1
EE,B1,14
EE,B3,1
EE,B5,3
EE,C1,15
EE,C2,7
EE,C3,11
EE,D2,2
EE,E1,1
EE,E2,14
EE,E3,1
EL,A2,2
EL,B1,26
EL,B3,15
EL,B4,1
EL,B5,15
EL,B7,9
EL,B8,26
EL,C1,42
EL,C2,11
EL,C3,9
EL,D1,31
EL,D2,14
EL,E1,29
EL,E2,15
EL,E3,56
EL,F4,6
ES,B1,313
ES,B2,7
ES,B3,32
ES,B4,29
ES,B5,31
ES,B7,37
ES,B8,56
ES,C1,183
ES,C2,126
ES,C3,31
ES,D1,74
ES,D2,146
ES,E1,50
ES,E2,146
ES,E3,72
ES,F1,3
ES,F4,88
ES,H2,1
FI,B1,11
FI,B4,2
FI,B5,30
FI,C1,38
FI,C2,96
FI,C3,110
FI,D1,4
FI,D2,4
FI,E1,7
FI,E2,23
FI,E3,2
FI,F4,2
FI,H1,2
FR,A1,1
FR,A2,6
FR,B1,412
FR,B2,28
FR,B3,79
FR,B4,10
FR,B5,83
FR,B7,9
FR,B8,12
FR,C1,344
FR,C2,64
FR,C3,76
FR,D1,14
FR,D2,13
FR,E1,34
FR,E2,419
FR,E3,49
FR,F1,2
FR,F2,1
FR,F4,28
FR,H1,3
FR,H2,1
HR,B1,3
HR,B2,1
HR,B3,4
HR,B4,2
HR,B5,2
HR,B8,1
HR,C1,44
HR,C3,5
HR,D1,4
HR,E1,6
HR,E2,16
HR,E3,6
HR,F1,1
HR,F2,1
HR,F4,3
HU,B1,38
HU,B3,14
HU,B5,11
HU,B7,2
HU,B8,1
HU,C1,48
HU,C2,3
HU,C3,3
HU,D2,1
HU,E1,6
HU,E2,24
HU,E3,14
HU,F4,9
IE,A2,5
IE,B1,8
IE,B4,1
IE,B5,1
IE,C1,5
IE,C2,3
IE,C3,3
IE,D1,1
IE,D2,2
IE,E2,74
IE,E3,2
IE,F1,1
IE,H1,1
IT,A2,3
IT,B1,83
IT,B2,2
IT,B3,21
IT,B4,22
IT,B5,75
IT,B7,12
IT,B8,39
IT,C1,76
IT,C2,23
IT,C3,13
IT,D1,12
IT,D2,5
IT,E1,13
IT,E2,94
IT,E3,47
IT,F3,1
IT,F4,3
LT,B1,37
LT,B2,2
LT,B3,9
LT,B4,5
LT,B5,7
LT,B7,1
LT,C1,13
LT,C2,9
LT,C3,12
LT,E1,2
LT,E2,39
LT,E3,5
LT,F4,1
LU,B1,2
LU,B5,1
LU,C1,5
LU,C2,3
LU,E1,1
LU,E2,2
LV,B1,38
LV,B2,2
LV,B3,7
LV,B4,1
LV,B5,2
LV,B7,2
LV,C1,23
LV,C2,10
LV,C3,13
LV,D1,1
LV,D2,3
LV,E1,7
LV,E2,36
LV,E3,6
LV,F4,3
NL,A2,7
NL,B1,7
NL,B2,9
NL,B4,2
NL,B5,7
NL,B7,1
NL,C1,11
NL,C2,7
NL,C3,15
NL,D1,1
NL,E1,4
NL,E2,56
NL,E3,2
NL,F4,2
NL,H1,1
PL,A2,1
PL,B1,289
PL,B2,21
PL,B3,35
PL,B4,9
PL,B5,13
PL,B7,32
PL,C1,69
PL,C2,109
PL,C3,89
PL,D1,3
PL,D2,3
PL,E1,22
PL,E2,184
PL,E3,35
PL,F4,4
PT,A2,4
PT,B1,10
PT,B2,2
PT,B3,1
PT,B4,3
PT,B5,7
PT,B7,7
PT,B8,15
PT,C1,106
PT,C2,30
PT,C3,9
PT,D1,15
PT,D2,9
PT,E1,9
PT,E2,32
PT,E3,16
PT,F1,1
PT,F2,1
PT,F4,5
RO,A2,1
RO,B1,106
RO,B2,5
RO,B3,37
RO,B4,5
RO,B5,32
RO,B7,8
RO,B8,7
RO,C1,21
RO,C2,4
RO,C3,3
RO,D1,4
RO,D2,6
RO,E1,50
RO,E2,142
RO,E3,39
RO,F4,9
RO,G2,1
SE,A2,1
SE,B1,25
SE,B2,2
SE,B3,2
SE,B4,1
SE,B5,36
SE,B7,1
SE,C1,54
SE,C2,170
SE,C3,134
SE,D1,4
SE,D2,1
SE,E1,14
SE,E2,52
SE,E3,7
SE,F4,5
SE,H1,6
SI,A2,1
SI,B1,4
SI,B4,1
SI,B5,2
SI,C1,20
SI,C2,4
SI,C3,24
SI,D1,2
SI,E1,1
SI,E2,25
SI,E3,1
SK,B1,18
SK,B3,6
SK,B4,2
SK,B5,4
SK,C1,25
SK,C2,4
SK,C3,6
SK,D1,4
SK,E1,1
SK,E2,18
SK,E3,3
SK,F4,3
UK,A2,6
UK,B1,60
UK,B2,8
UK,B3,6
UK,B4,5
UK,B5,27
UK,B7,1
UK,C1,25
UK,C2,12
UK,C3,6
UK,D1,4
UK,D2,17
UK,E1,11
UK,E2,187
UK,E3,21
UK,F4,16
UK,H1,6
